ST.	O
LOUIS	O
","	O
MO.	O
","	O
January	O
22	O
","	O
2020	O
The	O
St.	B_new_team_city
Louis	I_new_team_city
Cardinals	B_new_team
announced	O
today	O
that	O
they	O
have	O
agreed	O
to	O
terms	O
with	O
free-agent	O
catcher	B_player_position
Matt	B_player_name
Wieters	I_player_name
(	O
pronounced	O
WEE-ters	O
)	O
on	O
a	O
one-year	O
contract	O
for	O
the	O
upcoming	O
2020	O
season	O
.	O
Wieters	O
","	O
33	B_player_age
","	O
returns	O
to	O
the	O
Cardinals	O
for	O
a	O
second-straight	O
season	O
.	O
He	O
signed	O
with	O
St.	O
Louis	O
on	O
February	O
27	O
last	O
year	O
as	O
a	O
non-roster	O
invitee	O
","	O
and	O
was	O
a	O
key	O
member	O
of	O
the	O
Redbirds	O
'	O
N.L	O
.	O
Central	O
Division-winning	O
club	O
","	O
appearing	O
in	O
67	O
games	O
(	O
54	O
starts	O
)	O
.	O
FLUSHING	O
","	O
N.Y.	O
","	O
January	O
28	O
","	O
2019	O
The	O
New	B_new_team_city
York	I_new_team_city
Mets	B_new_team
announced	O
today	O
that	O
the	O
club	O
has	O
signed	O
All-Star	O
infielder	B_player_position
Eduardo	B_player_name
Nunez	I_player_name
","	O
catcher	B_player_position
Rene	B_player_name
Rivera	I_player_name
and	O
right-handed	O
pitcher	B_player_position
Erasmo	B_player_name
Ramirez	I_player_name
to	O
minor	O
league	O
contracts	O
and	O
invited	O
all	O
three	O
to	O
major	O
league	O
spring	O
training	O
.	O
Nunez	O
","	O
32	B_player_age
","	O
is	O
a	O
10-year	O
major	O
league	O
veteran	O
whose	O
major	O
league	O
career	O
began	O
in	O
New	O
York	O
","	O
playing	O
his	O
first	O
four	O
seasons	O
with	O
the	O
Yankees	O
(	O
2010-2013	O
)	O
.	O
The	O
Dominican	O
infielder	O
is	O
a	O
lifetime	O
.276/.310/.404	O
hitter	O
in	O
856	O
major	O
league	O
games	O
with	O
the	O
Yankees	O
","	O
Minnesota	O
(	O
2014-2016	O
)	O
","	O
San	O
Francisco	O
(	O
2016-2017	O
)	O
and	O
Boston	O
(	O
2017-2019	O
)	O
.	O
He	O
was	O
named	O
an	O
AL	O
All-Star	O
in	O
2016	O
when	O
he	O
hit	O
16	O
homers	O
","	O
drove	O
in	O
67	O
runs	O
and	O
stole	O
40	O
bases	O
.	O
ATLANTA	O
The	O
Atlanta	B_new_team_city
Braves	B_new_team
today	O
signed	O
infielder	B_player_position
Adeiny	B_player_name
Hechavarria	I_player_name
to	O
a	O
one-year	O
contract	O
worth	O
$	B_contract_amount
1	I_contract_amount
million	I_contract_amount
.	O
The	O
club	O
's	O
40-man	O
roster	O
now	O
stands	O
at	O
39	O
.	O
Hechavarria	O
","	O
30	B_player_age
","	O
split	O
last	O
season	O
between	O
Atlanta	O
and	O
New	O
York	O
(	O
NL	O
)	O
","	O
hitting	O
0.328	O
(	O
20-for-61	O
)	O
with	O
four	O
home	O
runs	O
and	O
a	O
1.039	O
OPS	O
in	O
24	O
games	O
with	O
the	O
Braves	O
.	O
He	O
joined	O
the	O
team	O
on	O
August	O
16	O
after	O
beginning	O
the	O
year	O
with	O
the	O
Mets	O
.	O
He	O
compiled	O
a	O
0.204	O
(	O
29-for-142	O
)	O
average	O
with	O
five	O
home	O
runs	O
and	O
a	O
0.611	O
OPS	O
in	O
60	O
games	O
for	O
New	O
York	O
.	O
Overall	O
","	O
he	O
compiled	O
a	O
.241/.299/.443	O
line	O
with	O
nine	O
home	O
runs	O
in	O
84	O
games	O
during	O
the	O
2019	O
season	O
.	O
The	O
Washington	B_new_team_city
Nationals	B_new_team
agreed	O
to	O
terms	O
on	O
a	O
three-year	O
contract	O
with	O
right-handed	O
pitcher	B_player_position
Will	B_player_name
Harris	I_player_name
on	O
Friday	O
.	O
Nationals	O
President	O
of	O
Baseball	O
Operations	O
and	O
General	O
Manager	O
Mike	O
Rizzo	O
made	O
the	O
announcement	O
.	O
Harris	O
","	O
35	B_player_age
","	O
joins	O
the	O
Nationals	O
after	O
going	O
1-Apr	O
with	O
four	O
saves	O
and	O
a	O
1.5	O
ERA	O
in	O
68	O
games	O
for	O
the	O
Houston	O
Astros	O
in	O
2019	O
.	O
He	O
struck	O
out	O
62	O
batters	O
","	O
walked	O
14	O
and	O
posted	O
a	O
0.196	O
opponents	O
'	O
batting	O
average	O
in	O
his	O
eighth	O
Major	O
League	O
season	O
.	O
DETROIT	O
The	O
Detroit	B_new_team_city
Tigers	B_new_team
today	O
claimed	O
the	O
contract	O
of	O
right-handed	O
pitcher	B_player_position
David	B_player_name
McKay	I_player_name
from	O
the	O
Seattle	O
Mariners	O
.	O
McKay	O
","	O
24	B_player_age
","	O
is	O
currently	O
ranked	O
as	O
the	O
28th-best	O
prospect	O
in	O
the	O
Mariners	O
organization	O
by	O
MLB	O
Pipeline	O
.	O
McKay	O
","	O
who	O
stands	O
at	O
3-Jun	O
","	O
205	O
pounds	O
","	O
has	O
spent	O
most	O
of	O
the	O
2019	O
season	O
with	O
Triple	O
A	O
Tacoma	O
","	O
posting	O
a	O
1-Mar	O
record	O
with	O
a	O
5.15	O
ERA	O
(	O
43.2IP/25ER	O
)	O
and	O
71	O
strikeouts	O
in	O
30	O
appearances	O
.	O
He	O
also	O
made	O
his	O
Major	O
League	O
debut	O
with	O
Seattle	O
this	O
season	O
","	O
pitching	O
in	O
seven	O
games	O
and	O
compiling	O
a	O
5.14	O
ERA	O
(	O
7.0IP/4ER	O
)	O
with	O
five	O
strikeouts	O
.	O
In	O
four	O
Minor	O
League	O
seasons	O
","	O
McKay	O
has	O
an	O
18-11	O
record	O
with	O
two	O
saves	O
","	O
a	O
4.81	O
ERA	O
(	O
236.0IP/126ER	O
)	O
and	O
276	O
strikeouts	O
.	O
Originally	O
drafted	O
by	O
the	O
Kansas	O
City	O
Royals	O
in	O
the	O
14th	O
round	O
of	O
the	O
2016	O
MLB	O
Draft	O
","	O
McKay	O
played	O
collegiately	O
at	O
Florida	O
Atlantic	O
University	O
.	O
DETROIT	O
The	O
Detroit	B_new_team_city
Tigers	B_new_team
have	O
agreed	O
to	O
terms	O
with	O
outfielder	B_player_position
Cameron	B_player_name
Maybin	I_player_name
on	O
a	O
one-year	O
Major	O
League	O
contract	O
.	O
Cameron	O
is	O
a	O
dynamic	O
outfielder	O
that	O
we	O
can	O
rely	O
on	O
for	O
solid	O
play	O
in	O
both	O
the	O
field	O
and	O
at	O
the	O
plate	O
","	O
said	O
Al	O
Avila	O
","	O
Detroit	O
Tigers	O
Executive	O
Vice	O
President	O
of	O
Baseball	O
Operations	O
and	O
General	O
Manager	O
.	O
His	O
veteran	O
presence	O
will	O
be	O
an	O
asset	O
to	O
our	O
lineup	O
and	O
we	O
're	O
excited	O
to	O
have	O
him	O
back	O
with	O
